state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
ME,14000.0,22,308000.0,89000.0,0.83,256000.0,1999
MD,6000.0,46,276000.0,50000.0,1.64,453000.0,1999
MI,73000.0,85,6205000.0,3475000.0,0.66,4095000.0,1999
MN,145000.0,82,11890000.0,3210000.0,0.61,7253000.0,1999
MS,18000.0,73,1314000.0,591000.0,0.54,710000.0,1999
MO,24000.0,65,1560000.0,437000.0,0.68,1061000.0,1999
MT,122000.0,70,8540000.0,2135000.0,0.6,5124000.0,1999
NE,58000.0,77,4466000.0,1965000.0,0.61,2724000.0,1999
NV,9000.0,45,405000.0,271000.0,1.54,624000.0,1999
NJ,10000.0,44,440000.0,154000.0,0.57,251000.0,1999
NM,15000.0,52,780000.0,476000.0,0.77,601000.0,1999
NY,69000.0,70,4830000.0,2077000.0,0.66,3188000.0,1999
NC,9000.0,46,414000.0,104000.0,1.62,671000.0,1999
ND,255000.0,105,26775000.0,8836000.0,0.59,15797000.0,1999
OH,20000.0,74,1480000.0,784000.0,0.72,1066000.0,1999
OK,6000.0,45,270000.0,49000.0,1.34,362000.0,1999
OR,45000.0,57,2565000.0,2026000.0,0.8,2052000.0,1999
PA,28000.0,60,1680000.0,790000.0,0.76,1277000.0,1999
SD,224000.0,104,23296000.0,13046000.0,0.6,13978000.0,1999
TN,8000.0,51,408000.0,106000.0,1.3,530000.0,1999
TX,108000.0,81,8748000.0,2799000.0,0.64,5599000.0,1999
UT,26000.0,45,1170000.0,433000.0,0.68,796000.0,1999
VT,6000.0,66,396000.0,222000.0,0.63,249000.0,1999
VA,7000.0,35,245000.0,86000.0,1.17,287000.0,1999
WA,52000.0,50,2600000.0,1170000.0,0.6,1560000.0,1999
WV,6000.0,39,234000.0,152000.0,1.09,255000.0,1999
WI,80000.0,75,6000000.0,4560000.0,0.68,4080000.0,1999
WY,37000.0,72,2664000.0,746000.0,0.61,1625000.0,1999
AL,16000.0,78,1248000.0,187000.0,0.59,736000.0,2000
AZ,40000.0,59,2360000.0,1322000.0,0.73,1723000.0,2000
AR,52000.0,93,4836000.0,3337000.0,0.57,2757000.0,2000
CA,440000.0,70,30800000.0,11396000.0,0.59,18172000.0,2000
CO,29000.0,60,1740000.0,957000.0,0.62,1079000.0,2000
FL,232000.0,105,24360000.0,2923000.0,0.54,13154000.0,2000
GA,55000.0,57,3135000.0,376000.0,0.63,1975000.0,2000
HI,7000.0,112,784000.0,125000.0,0.82,643000.0,2000
ID,100000.0,47,4700000.0,2679000.0,0.52,2444000.0,2000
IL,8000.0,61,488000.0,146000.0,1.17,571000.0,2000
IN,8000.0,65,520000.0,286000.0,1.03,536000.0,2000
IA,30000.0,67,2010000.0,1206000.0,0.68,1367000.0,2000
KS,15000.0,68,1020000.0,520000.0,0.91,928000.0,2000
KY,4000.0,48,192000.0,54000.0,1.35,259000.0,2000
LA,43000.0,94,4042000.0,1334000.0,0.52,2102000.0,2000
ME,11000.0,21,231000.0,143000.0,0.75,173000.0,2000
MD,6000.0,46,276000.0,52000.0,1.14,315000.0,2000
MI,72000.0,75,5400000.0,2970000.0,0.6,3240000.0,2000
MN,150000.0,90,13500000.0,3105000.0,0.57,7695000.0,2000
MS,17000.0,72,1224000.0,649000.0,0.69,845000.0,2000
MO,23000.0,75,1725000.0,362000.0,0.6,1035000.0,2000
MT,124000.0,88,10912000.0,4692000.0,0.59,6438000.0,2000
NE,50000.0,87,4350000.0,2610000.0,0.59,2567000.0,2000
NV,10000.0,35,350000.0,95000.0,1.45,508000.0,2000
NJ,11000.0,35,385000.0,200000.0,0.61,235000.0,2000
NM,15000.0,64,960000.0,739000.0,0.72,691000.0,2000
NY,58000.0,80,4640000.0,2274000.0,0.55,2552000.0,2000
NC,11000.0,49,539000.0,243000.0,1.43,771000.0,2000
ND,300000.0,115,34500000.0,13800000.0,0.57,19665000.0,2000
OH,18000.0,65,1170000.0,585000.0,0.79,924000.0,2000
OK,7000.0,35,245000.0,64000.0,1.26,309000.0,2000
OR,48000.0,51,2448000.0,1665000.0,0.66,1616000.0,2000
PA,25000.0,45,1125000.0,630000.0,0.76,855000.0,2000
SD,235000.0,121,28435000.0,12796000.0,0.58,16492000.0,2000
TN,9000.0,61,549000.0,104000.0,1.43,785000.0,2000
TX,105000.0,79,8295000.0,2986000.0,0.57,4728000.0,2000
UT,24000.0,41,984000.0,462000.0,0.6,590000.0,2000
VT,7000.0,59,413000.0,211000.0,0.68,281000.0,2000
VA,7000.0,42,294000.0,103000.0,1.5,441000.0,2000
